,Pays,dist
0,Afrique du Sud , 8 684 
1,Albanie , 1 601 
2,Algérie , 1 914 
3,Allemagne , 878 
4,Andorre , 709 
5,Angola , 6 503 
6,Antigua-et-Barbuda , 6 706 
7,Arabie saoudite , 4 682 
8,Argentine , 11 051 
9,Arménie , 3 431 
10,Australie , 16 926 
11,Autriche , 1 033 
12,Azerbaïdjan , 3 813 
13,Bahamas , 7 207 
14,Bahreïn , 4 833 
15,Bangladesh , 7 910 
16,Barbade , 6 875 
17,Belize , 8 653 
18,Bénin , 4 710 
19,Bhoutan , 7 559 
20,Biélorussie , 1 826 
21,Birmanie , 8 636 
22,Bolivie , 10 028 
23,Bosnie-Herzégovine , 1 349 
24,Botswana , 8 503 
25,Brésil , 8 602 
26,Brunei , 11 210 
27,Bulgarie , 1 757 
28,Burkina Faso , 4 074 
29,Burundi , 6 395 
30,Cambodge , 9 940 
31,Cameroun , 5 078 
32,Canada , 5 649 
33,Cap-Vert , 4 448 
34,République Centrafricaine , 5 180 
35,Chili , 11 639 
36,Chine , 8 216 
37,Chypre , 2 950 
38,Colombie , 8 631 
39,Comores , 7 836 
40,République du Congo , 6 040 
41,République démocratique du Congo , 6 045 
42,Îles Cook , 16 556 
43,Corée du Nord , 8 771 
44,Corée du Sud , 8 966 
45,Costa Rica , 8 918 
46,Côte d’Ivoire , 4 729 
47,Croatie , 1 079 
48,Cuba , 7 722 
49,Danemark , 1 027 
50,Djibouti , 5 528 
51,République Dominicaine , 7 188 
52,Dominique , 6 822 
53,Égypte , 3 209 
54,Émirats arabes unis , 5 240 
55,Équateur , 9 361 
56,Érythrée , 4 989 
57,Espagne , 1 056 
58,Estonie , 1 859 
59,Eswatini , 8 835 
60,États-Unis , 6 166 
61,Éthiopie , 5 573 
62,Fidji , 16 582 
63,Finlande , 1 909 
64,Gabon , 5 432 
65,Gambie , 4 303 
66,Géorgie , 3 367 
67,Ghana , 4 821 
68,Grèce , 2 096 
69,Grenade , 7 106 
70,Guatemala , 8 903 
71,Guinée , 4 620 
72,Guinée-Bissau , 4 434 
73,Guinée équatoriale , 5 052 
74,Guyana , 7 310 
75,Haïti , 7 357 
76,Honduras , 8 802 
77,Hongrie , 1 244 
78,Inde , 6 586 
79,Indonésie , 11 586 
80,Irak , 3 861 
81,Iran , 4 210 
82,Irlande , 781 
83,Islande , 2 231 
84,Israël , 3 332 
85,Italie , 1 105 
86,Jamaïque , 7 726 
87,Japon , 9 712 
88,Jordanie , 3 367 
89,ex Astana) , 4 758 
90,Kenya , 6 482 
91,Kirghizistan , 5 420 
92,Kiribati , 14 362 
93,Koweït , 4 379 
94,Laos , 9 237 
95,Lesotho , 9 044 
96,Lettonie , 1 703 
97,Liban , 3 192 
98,Liberia , 4 891 
99,Libye , 1 992 
100,Liechtenstein , 566 
101,Lituanie , 1 696 
102,Luxembourg , 294 
103,Macédoine du Nord , 1 709 
104,Madagascar , 8 760 
105,Malaisie , 10 424 
106,Malawi , 7 641 
107,Maldives , 8 287 
108,Mali , 4 137 
109,Malte , 1 749 
110,Maroc , 1 816 
111,Îles Marshall , 13 693 
112,Maurice , 9 412 
113,Mauritanie , 3 798 
114,Mexique , 9 086 
115,États fédérés de Micronésie , 13 380 
116,Moldavie , 1 975 
117,Monaco , 690 
118,Mongolie , 7 047 
119,Monténégro , 1 491 
120,Mozambique , 8 846 
121,Namibie , 8 075 
122,Nauru , 14 444 
123,Népal , 7 237 
124,Nicaragua , 8 894 
125,Niger , 3 930 
126,Nigeria , 4 451 
127,Niue , 16 630 
128,Norvège , 1 342 
129,Oman , 5 611 
130,Ouganda , 6 123 
131,Ouzbékistan , 5 147 
132,Pakistan , 5 917 
133,Palaos , (12 222 
134,Palestine , 3 322 
135,Panama , 8 697 
136,Papouasie-Nouvelle-Guinée , 14 552 
137,Paraguay , 10 163 
138,Pays-Bas , 430 
139,Pérou , 10 259 
140,Philippines , 10 744 
141,Pologne , 1 367 
142,Portugal , 1 454 
143,Quatar , 4 972 
144,Roumanie , 1 872 
145,Royaume-Uni , 343 
146,Rwanda , 6 247 
147,Saint-Christophe-et-Niévès , 6 754 
148,Saint-Marin , 853 
149,Saint-Vincent-et-les-Grenadines , 6 987 
150,Sainte-Lucie , 6 902 
151,Îles Salomon , 15 160 
152,Salvador , 8 977 
153,Samoa , 16 083 
154,Sao Tomé-et-Principe , 5 340 
155,Sénégal , 4 208 
156,Serbie , 1 446 
157,Seychelles , 7 844 
158,Sierra Leone , 4 720 
159,Singapour , 10 736 
160,Slovaquie , 1 088 
161,Slovénie , 964 
162,Somalie , 6 616 
163,Soudan , 4 606 
164,Soudan du Sud , 5 619 
165,Sri Lanka , 8 522 
166,Suède , 1 544 
167,Suisse , 435 
168,Suriname , 7 187 
169,Syrie , 3 274 
170,Tadjikistan , 5 285 
171,Tanzanie , 6 925 
172,Tchad , 4 251 
173,République Tchèque , 882 
174,Thaïlande , 9 444 
175,Timor oriental , 13 115 
176,Togo , 4 840 
177,Tonga , 16 925 
178,Trinité-et-Tobago , 7 217 
179,Tunisie , 1 741 
180,Turkménistan , 4 575 
181,Turquie , 2 596 
182,Tuvalu , 15 532 
183,Ukraine , 2 024 
184,Uruguay , 10 955 
185,Vanuatu , 16 331 
186,Vatican , 1 103 
187,Venezuela , 7 618 
188,Viêt Nam , 9 193 
189,Yémen , 5 313 
190,Zambie , 7 591 
191,Zimbabwe , 7 940 
